"",Title,Year,Rated,Genre
154,Spotlight,2015,R,"Crime, Drama, History"
155,Brief Encounter,1945,NOT RATED,"Drama, Romance"
156,The Best Years of Our Lives,1946,PASSED,"Drama, Romance, War"
157,The Grapes of Wrath,1940,APPROVED,"Drama, History"
158,12 Years a Slave,2013,R,"Biography, Drama, History"
159,The Grand Budapest Hotel,2014,R,"Adventure, Comedy, Drama"
160,Mad Max: Fury Road,2015,R,"Action, Adventure, Sci-Fi"
161,The Princess Bride,1987,PG,"Adventure, Family, Fantasy"
162,What Ever Happened to Baby Jane?,1962,APPROVED,"Drama, Horror, Thriller"
163,Million Dollar Baby,2004,PG-13,"Drama, Sport"
164,Jurassic Park,1993,PG-13,"Adventure, Sci-Fi, Thriller"
165,Touch of Evil,1958,PG-13,"Crime, Drama, Film-Noir"
166,Spider-Man: Homecoming,2017,PG-13,"Action, Adventure, Sci-Fi"
167,Before Sunrise,1995,R,"Drama, Romance"
168,The Truman Show,1998,PG,"Comedy, Drama, Sci-Fi"
169,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,"Adventure, Drama, Fantasy"
170,Star Wars: The Force Awakens,2015,PG-13,"Action, Adventure, Fantasy"
171,"Paris, Texas",1984,R,Drama
172,The Last Picture Show,1971,R,Drama
173,Gandhi,1982,PG,"Biography, Drama, History"
174,Barry Lyndon,1975,PG,"Adventure, Drama, History"
175,Rocky,1976,PG,"Drama, Sport"
176,Annie Hall,1977,PG,"Comedy, Romance"
177,Prisoners,2013,R,"Crime, Drama, Mystery"
178,Donnie Darko,2001,R,"Drama, Sci-Fi, Thriller"
179,Catch Me If You Can,2002,PG-13,"Biography, Crime, Drama"
180,The Man Who Shot Liberty Valance,1962,APPROVED,"Action, Drama, Western"
181,Laura,1944,APPROVED,"Drama, Film-Noir, Mystery"
182,"Monsters, Inc.",2001,G,"Animation, Adventure, Comedy"
183,The Bourne Ultimatum,2007,PG-13,"Action, Mystery, Thriller"
184,Cat on a Hot Tin Roof,1958,APPROVED,"Drama, Romance"
185,The Wizard of Oz,1939,G,"Adventure, Family, Fantasy"
186,Sleuth,1972,PG,"Mystery, Thriller"
187,Roman Holiday,1953,PASSED,"Comedy, Romance"
188,Out of the Past,1947,NOT RATED,"Crime, Drama, Film-Noir"
189,Anatomy of a Murder,1959,UNRATED,"Crime, Drama, Mystery"
190,Who's Afraid of Virginia Woolf?,1966,TV-MA,Drama
191,The Terminator,1984,R,"Action, Sci-Fi"
192,Groundhog Day,1993,PG,"Comedy, Fantasy, Romance"
193,The Help,2011,PG-13,Drama
194,Strangers on a Train,1951,PG,"Crime, Film-Noir, Thriller"
195,The Night of the Hunter,1955,APPROVED,"Crime, Drama, Film-Noir"
196,All Quiet on the Western Front,1930,UNRATED,"Drama, War"
197,Beauty and the Beast,1991,G,"Animation, Family, Fantasy"
198,Lion,2016,PG-13,"Biography, Drama"
199,Twelve Monkeys,1995,R,"Mystery, Sci-Fi, Thriller"
200,Guardians of the Galaxy,2014,PG-13,"Action, Adventure, Sci-Fi"
201,Dog Day Afternoon,1975,R,"Biography, Crime, Drama"
202,Jaws,1975,PG,"Adventure, Drama, Thriller"
203,Zootopia,2016,PG,"Animation, Adventure, Comedy"
